head,text,date,comm_num
"Результаты торгов иностранными валютами на KASE: RUBKZT_TOD – 5,9480/5,9580","Результаты торгов иностранными валютами на KASE: RUBKZT_TOD – 5,9480/5,9580",2020-02-14-16:08,0
В Алматы обсудили вопросы налогового и таможенного администрирования,"
В южном мегаполисе прошла практическая конференция ""Вопросы налогового и таможенного администрирования"", организованная Комитетом государственных доходов Минстерства финансов, Верховным судом и Ассоциацией налогоплательщиков Казахстана, сообщает zakon.kz. В работе конференции приняли участие судьи Верховного, городских, областных судов  и специализированной судебной коллегии, руководители Министерства национальной экономики, Министерства финансов, Комитета государственных доходов, представители региональных Департаментов госдоходов и других государственных органов, а также налогоплательщики. В общей сложности в конференции приняли участие порядка тысячи человек. В рамках мероприятия были подробно обсуждены актуальные вопросы по применению норм налогового законодательства Республики Казахстан при камеральном контроле, особенности и порядок проведения таможенного контроля после выпуска товаров и многие другие. Как отметила в своем вступительном слове председатель Управляющего совета Ассоциации налогоплательщиков Казахстана Жаннат Ертлесова, это очень важное мероприятие, на котором казахстанские налогоплательщики получат максимальную информацию о налоговом и таможенном администрировании, а также исчерпывающие ответы на интересующие их  вопросы. С приветственным словом также выступили председатель специализированной судебной коллегии Верховного суда Айгуль Кыдырбаева, председатель Комитета государственных доходов Министерства финансов Марат Султангазиев, вице-министр национальной экономики Мади Такиев, который рассказал об актуальных изменениях налогового законодательства.   Одной из первых среди спикеров выступила судья специализированной судебной коллегии Верховного суда Гульжан Альмагамбетова на тему ""Некоторые вопросы обжалования результатов камерального контроля"". Как известно, новый Налоговой введен в действие с 1 января 2018 года, то есть применяется уже два года и за это время выработана судебная практика по отдельным вопросам. Говоря об этом, судья подробно рассказала о способах исполнения уведомления, вынесении решения о признании уведомления неисполненным, о возможности обжалования налогоплательщиком решения, о последствиях подачи жалобы на решения, на уведомления. Также судья предложила ряд вопросов для обсуждения в рамках данной конференции. Судья судебной коллегии по гражданским делам Верховного суда Жанылсын Архарова сделала сделала обзор таможенного законодательства и судебной практики  по таможенным спорам"", ее коллега  Нуржан Кайыпжан рассказал о судебной практике рассмотрения споров о признании недействительными сделок, совершенных без фактической реализации товаров, работ и услуг. Также выступили представители Комитета государственных доходов минфина: Ораз Абдрахманов - руководитель Юридического управления, Ануар Сулейменов -  руководитель Управления дистанционного мониторинга,   Светлана Абдыкерова - руководитель Управления классификации и происхождения товаров. Они рассказали о практике и совершенствовании налогового и  таможенного администрирования и камеральном контроле.       Торгын Нурсеитова, фото автора
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-16:06,0
"Сумку Louis Vuitton за 1,2 млн тенге украли из машины астанчанина","
Сотрудники полиции по горячим следам задержали мужчину, подозреваемого в краже из салона машины, передает zakon.kz. С заявлением о краже обратился житель столицы. По словам потерпевшего, у его автомобиля Lexus RX 300 разбили стекло и вытащили из салона мужскую сумочку Louis Vuitton, в которой находились портмоне с 50 000 тенге, документы и личные вещи. Ущерб составил 1 207 000 тенге.  В ходе проводимых оперативно-розыскных мероприятий оперативными сотрудниками Управления полиции района ""Алматы"" удалось выйти на след подозреваемого через несколько часов и задержать по месту его проживания. В ходе проводимых следственных мероприятий полицейские установили, что задержанный, находясь на автостоянке, заметил как водитель припаркованного рядом автомобиля Lexus оставляет на заднем сидении своей машины сумку и вещи. Дождавшись, кода он уйдет, злоумышленник, разбив стекло боковой двери, совершил кражу личного имущества, а затем скрылся с места преступления, - сообщили в пресс-службе ДП Нур-Султана. Задержанный дал признательные показания. Вещественные доказательства изъяты. По данному факту ведется досудебное расследование по ст. 188 УК РК (кража). Устанавливается причастность задержанного лица к ранее совершенным аналогичным преступлениям.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-16:03,9
"Они идут туда, откуда все бегут. Появилось видео из эпицентра пожара в Нур-Султане","
На странице ДЧС Нур-Султана в instagram появилось видео с камеры одного из пожарных, который ликвидировал ЧП в многоэтажном доме, передает zakon.kz.  Каждый пожар - это чье-то горе, это беда, от которой не застрахован никто. Ежедневно пожарные выезжают на ликвидацию возгораний, уберегая от огненной стихии жилые дома, спасая жизни людей. Одной из главных оценок в работе пожарных являются спасенные жизни, искренние слова благодарности за их нелегкий труд. Это оперативное видео со вчерашнего пожара (от ред 12 февраля) по улице Куйши дина снятое на экшн-камеру огнеборцами СПЧ#17, где в общей сложности было спасено 20 человек, из них 9 детей. К сожалению, одну жизнь спасти не удалось, - сказано в описании к видео.    
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:55,1
В Темиртау выпал черный снег. Минэкологии проверяет крупные предприятия Караганды,"
Департамент экологии по Карагандинской области проводит внеплановую проверку в отношении АО ""АрселорМиттал Темиртау"". Это произошло после того, как в Темиртау выпал черный снег, передает zakon.kz. В Минэкологии сообщили, что после того, как в СМИ появилась информация о выпадении черного снега в Темиртау, Департамент экологии Карагандинской области начал проверку. Сотрудники ведомства совместно с сотрудниками ""Казгидромет"" замерили химический состав воздуха на границе санитарно-защитной зоны АО ""АрселорМиттал Темиртау"", так как основным загрязнителем воздуха в Темиртау является стальной департамент этой компании. Сейчас Департамент экологии проводит внеплановую проверку ""АрселорМитал"" и другие крупных предприятий Темиртау. Информация по итогам проверок будет сообщена дополнительно. В ведомстве добавили, что в декабре 2019 года ""АрселорМиталл Темиртау"" уже проверяли. Тогда были выявлены грубейшие нарушения требований экологического законодательства в ТЭЦ ПВС и Кислородно-конвертерном цехе. Департамент экологии области предъявил многомиллиардный ущерб и дал предписания об устранении нарушений с конкретными сроками исполнения. В начале февраля в Темиртау выпал черный снег. Акимат Карагандинской области создал рабочую группу, которая будет выяснять причину появления черного снега. По предварительным данным, на предприятии ""АрселорМиттал Темиртау"" идет превышение нормативов предельно допустимых выбросов.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:53,5
В Пекине сняли лимиты на пользование личным авто,"
Прежние ограничения водительской активности в пределах столицы Китая предусматривали сепарирование езды машин по четным и нечетным номерам в зависимости от дня недели, чтобы горожане окончательно не задохнулись от выхлопных газов, передает zakon.kz со ссылкой на сайт kolesa.kz. Теперь часть контор не работает в связи с эпидемией коронавируса, к тому же многие пекинцы предпочитают вообще не выходить из дома из опасения подхватить инфекцию в общественных местах. Поэтому на днях транспортный департамент Пекина решил слегка подбодрить сограждан, объявив о временном прекращении ограничительной политики сразу по истечении празднования местного Нового года. Однако испуганные автовладельцы не воспользовались предоставленными льготами и предпочли еще реже садиться за руль. Дорожный трафик просел шестикратно, в чем можно убедиться по кривой загруженности пекинских дорог за последние 48 часов (красная линия) в сравнении с аналогичным периодом прошлого года (синий пунктир):  Нефтяников всего мира вынужденная экологическая сознательность китайцев не радует вовсе, ведь до последних событий Китай потреблял как минимум четверть всей извлекаемой из недр земли черной жижи. Обвальное падение спроса на автомобильный бензин и авиакеросин привело к образованию огромного объема избыточного топлива. Хранилища переполнены, и китайские компании в режиме форс-мажора уже сейчас отказываются закупать нефть (и газ, кстати) в прежних объемах, соответственно, цены на сырье будут очень быстро снижаться. Что произойдет, когда коронавирусом COVID-19 заразится 2/3 населения планеты (как предполагают в ВОЗ), прогнозировать пока не берется никто. Стоит напомнить, что сегодня Казахстан экспортирует порядка 80 % произведенной нефти, что составляет две трети доходов от зарубежных продаж и формирует почти три четверти ВВП.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:50,3
В Акмолинской области трудоустроено порядка 6000 инвалидов,"
В Акмолинской области ведется работа по занятости людей с особыми потребностями, передает zakon.kz со ссылкой на УВП облаcти. В Казахстане многие люди с ограниченными возможностями – трудоспособного возраста могут в приоритетном порядке принимать участие в Программе развития продуктивной занятости и массового предпринимательства посредством трудоустройства на общественные, социальные, вакантные рабочие места. Оказание содействия в трудоустройстве этим людям для их полноценного вовлечения в продуктивную жизнь является приоритетной задачей в регионе. В области трудоустроено порядка 6000 инвалидов. Из них 2000 – самозанятые, 700 обратилось в центр занятости населения, 280 являются предпринимателями. Развита социальная ответственность бизнеса через трудоустройство инвалидов. Одним из примеров трудоустройства инвалидов является ТОО ""Асыл Арман"". В предприятии по производству полимерных упаковок работают 20 человек с особыми потребностями. Для них созданы благоприятные условия, организован подвоз, питание. Инвалид 2 группы Семененко София работает оператором швейного оборудования два года. Я живу в с. Доломитово Зерендинского района, это 40 км от Кокшетау. Каждый день на работу нас привозят и отвозят домой. Мне очень нравится тут работать. Отличный коллектив и внимательное отношение руководства, - отметил София Семененко. Стать экономически самостоятельным и раскрыть в себе потенциал бизнесмена теперь стало доступным благодаря проекту и ""Бастау Бизнес"", в котором 46 акмолинцев с особыми потребностями стали обладателями грантов на реализацию новых бизнес-идей. Среди них - салоны по производству свадебных, вечерних и бальных платьев, цех по сбору и переработке бытовых отходов, тренажерный зал для людей с ограниченными возможностями, полиграфические и фотоуслуги, лазерная резка и гравировка и многое др. Более 200 человек охвачены обучением основам предпринимательства, 25 - получили микрокредиты. К слову, в области проживают порядка 29 тыс людей с особенными потребностями. Из них 15 тыс – трудоспособные.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:47,0
Где в Казахстане самая дорогая питьевая вода,"
Стало известно, в каком регионе нашей страны самая дорогая питьевая вода, подаваемая через систему центрального водоснабжения, и где вода из крана одна из самых дешевых, передает zakon.kz. В 2020 году самые высокие тарифы на холодную воду для населения с учетом НДС среди крупных городов и мегаполисов страны в Актау- 223,9 тенге . Это связано с тем, что в городе вырабатывают питьевую воду из морской с помощью специального оборудования. На втором и третьем месте Атырау - 113.5 тг/м3 и Караганда – 101.2 тг/м3. Далее расположились Шымкент (88.1), Костанай (85.3), Петропавловск (81.2), Актобе (77.9), Кокшетау (73.1), Усть-Каменагорск (66.4), Талдыкорган (61.3), Туркестан (57, 2), Павлодар (55,3), Алматы на 13 месте из 18 регионов с 48 тг/м3. Самые низкие тарифы на воду для населения в Семее (47, 8), Уральске (46, 2), Нур-Султане (45, 6), Таразе (45, 4) и Кызылорде (41,4).  Тарифы для юридических лиц, фирм и обслуживающих компаний другие. Для данной категории потребителей самая дорогая вода в Атырау (354,73), Шымкенте (354 ) и Актау (324,16). Наиболее дешевая вода для юрлиц в Кызылорде (125,66) и Павлодаре (137,29). Что касается цен на канализацию (водоотведение), то дороже всех пользоваться канализацией приходится жителям Караганды (90,78 ), Петропавловска (74,94 ) и Костаная (68,44 ). Далее следуют Актобе (67,21), Усть-Каменогорск (65,91), Кокшетау (65,48), Талдыкоргане(65,3), Актау (60,55), Туркестан(57,75),Семее (49,46), Уральске (47,31), Кызылорде(46,42), Атырау (39,20), Нур-Султан (39,04), Шымкент (35,13). Наиболее дешевые услуги по водоотведению для населения в Алматы (25,89), Павлодаре (22,58) и Таразе (13,4). Тарифы для юридических лиц, фирм и обслуживающих компаний на услуги канализации и водоотведения в Актобе (320,47), Караганде (291,48) и Уральске (288,98). Наиболее дешевая канализация для предприятий в Алматы (71,69), Актау (60,55) и Таразе (57,62). Добавим, что с 1 февраля 2020 года введены утвержденные тарифы на коммунальные услуги Департаментом по регулированию естественных монополий по городу Алматы. Стоит отметить, согласно новым правилам формирования тарифов введена дифференциация потребителей по трем группам, ранее было две группы потребителей. Физические лица, относящиеся к категории населения, платят за воду 48,00 тенге/м3 с НДС. Предприятия, занимающиеся производством тепловой энергии и организации, предоставляющие регулируемые услуги в сфере водоснабжения —59,38 тенге/м3 с НДС. Организации, содержащиеся за счет бюджетных средств и прочие потребители, не входящие в первую и вторую группы потребителей, платят за воду 161,31 тенге/м3 с НДС. Добавим, что алматинцам предложили дважды заплатить за воду и канализацию с февраля. О том, почему так получилось, читайте здесь. Альберт Ахметов
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:38,3
Министерство юстиции оптимизировало ряд государственных услуг,"
Министерство юстиции оптимизировало ряд государственных услуг
 
Теперь гражданам
страны не нужно обращаться в ЦОНы и регистрирующие органы (РАГС) за получением
ряда государственных услуг по линии органов юстиции.
Данная оптимизация
стала возможна благодаря принятым поправкам в соответствии с Законом «О внесении изменений и дополнений в
некоторые законодательные акты Республики Казахстан по вопросам оказания
государственных услуг».
 
Так, исключены
некоторые виды регистрации актов гражданского состояния в связи с их
автоматизацией:
вместо 2-х
свидетельств: свидетельства об усыновлении или об установлении отцовства и
рождении, регистрирующим органом будет выдаваться только одно свидетельство о
рождении ребенка, которое будет содержать персональные данные ребенка и данные
о его родителях. Ранее родители при утере или порче этих свидетельств
обращались за повторным получением.
нет необходимости
регистрировать решение суда о расторжение брака, то есть не нужно обращаться в
РАГС для получения свидетельства. Теперь сведения из судов после расторжения
брака, будут автоматически поступать в базы органов юстиции.
Благодаря этим
новшествам в среднем около 100 тысячам гражданам не придется обращаться в
филиалы Госкорпорации или в регистрирующие органы за получением данных услуг. К
примеру, за последние 3 года зарегистрировано таких актов более трехсот тысяч,
в среднем в год регистрируется около ста тысяч актов.
 
Исключена
необходимость предоставления гражданами документов, которые регистрирующий
орган может получить из информационных систем государственных органов:
при регистрации
рождения не нужно в бумажном виде представлять медицинские свидетельства и
свидетельство о заключении брака (если родители в браке);
при вынесении решения
суда об установлении отцовства, усыновлении, восстановлении, аннулировании или
внесения изменений в актовые записи не нужно в бумажном виде представлять
решение суда.
К примеру, если
родился ребенок, то раньше нужно было предъявлять в органы РАГС соответствующие
медицинские свидетельства или решение суда о юридическом факте рождения.
Теперь, эти документы приносить ненужно. Эти данные берутся из систем других
госорганов.
 
Также, для
максимального удобства граждан, введен экстерриториальный принцип всех видов
регистрации актов гражданского состояния:
регистрацию рождения
можно произвести в любом органе РАГС, вне зависимости от места рождения или
регистрации родителей;
регистрацию перемены
Ф.И.О. можно произвести в любом органе РАГС, вне зависимости от места
регистрации заявителя;
регистрацию смерти
можно произвести в любом органе РАГС, вне зависимости от места смерти умершего
или его места регистрации.
Получать повторные
свидетельства и справки можно в любом органе РАГС, вне зависимости от места
рождения, регистрация акта или места жительства гражданина.
Все вышеуказанные
нововведения позволят перевести в цифровой формат процесс оказания
государственных услуг и сократить временые и финансовые затраты граждан.
",2020-02-14-15:35,0
Токаев прибыл в Мюнхен,"
Токаев
прибыл в Мюнхен
 
Глава
государства Касым-Жомарт Токаев прибыл с 2-х дневным рабочим визитом в Мюнхен
для участия в 56-й конференции по безопасности (МКБ), передает zakon.kz.
Об этом сообщил
пресс-секретарь Президента Берик Уали на своей странице в Facebook.
Планируется, что
на полях МКБ глава государства примет участие в панельных дискуссиях и проведет
ряд двусторонних встреч с мировыми лидерами, руководителями международных организаций,
крупных германских компаний и известными экспертами в области международных
отношений.
Центральным
событием участия Касым-Жомарта Токаева в конференции станет выступление на
параллельной панельной дискуссии по региональной безопасности на тему «География
имеет значение: Беседа о Центральной Азии».
В Мюнхен для
участия в мероприятии съедутся порядка 40 глав государств и правительств, более
100 руководителей внешнеполитических и оборонных ведомств, авторитетных
экспертов в сфере международных отношений.
Повестка дня 56-й
МКБ включает актуальные вопросы мирового развития и глобальной безопасности.
Участники конференции обсудят проблему торговых войн и санкций, ситуацию на
Ближнем Востоке, взаимоотношения между Европейским союзом, США, Россией, Китаем
и другими странами, вызовы безопасности в Европе, будущее ЕС и НАТО, а также
современные угрозы в сферах кибербезопасности и здравоохранения, борьбу с
дезинформацией и др.
",2020-02-14-15:29,0
Чемодан с крупной суммой денег украли в аэропорту Нур-Султана,"
В аэропорту Нур-Султана мужчина обнаружил, что у него украли чемодан. В нем находились личные вещи и деньги, сообщает zakon.kz. 26 декабря 2019 года в Линейный отдел полиции в Международном аэропорту Нур-Султана обратился 66-летний пассажир рейса авиакомпания ""SCAT"" сообщением ""Атырау-Нур-Султан"" о том, что неизвестные лица в багажном отделении похитили его багаж, в котором находились личные вещи и денежные средства в размере 2500 долларов США и 200 000 тенге, - говорится в сообщении Департамента полиции на транспорте. В тот же день транспортными полицейскими было начато досудебное расследование по ст.188 ч.3 УК РК (Кража в крупном размере). В ходе проведения оперативно-розыскных мероприятий сотрудниками криминальной полиции ЛОП столичного аэропорта был установлен и задержан пассажир этого же рейса. Им оказался 26-летний житель Карагандинской области. Похищенный чемодан вернули владельцу. Приговором Есильского районного суда №2 Нур-Султана мужчина признан виновным в совершении уголовного правонарушения и ему назначены наказание в виде ограничения свободы сроком на 3,6 года.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:28,16
В Казахстане отменили временное удостоверение и детские вкладки в паспорта,"
В
Казахстане отменили временное удостоверение и детские вкладки в паспорта
 
В Казахстане
отменили временное удостоверение личности и вклеивание детских фотографий в
паспорт родителей, передает zakon.kz.
Миграционная
служба Алматы сообщает, что согласно Закону РК «О внесении,
изменений и дополнений в некоторые законодательные акты РК по вопросам оказания
государственных услуг» от 25 ноября 2019 года исключена норма по выдаче
временного удостоверения личности и отменена процедура внесения записи о детях
в возрасте до 16 лет, с вклеиванием их фотографий.
Иными словами,
отменена процедура записи детей и вклейки их фотографий в паспорт родителя для
выезда за границу. Также теперь не будет временного удостоверения личности. То
есть, если раньше человек терял удостоверение, к примеру, ему выдавали
временное. Отныне гражданин РК будет получать стандартное удостоверение
личности. Это упрощает производство документооборота, а главное облегчает
процедуру оказания государственных услуг, получаемых гражданами Республики
Казахстан, - информировал начальник Управления миграционной службы ДП Алматы
полковник полиции Асхат Бутунчинов.
",2020-02-14-15:27,0
В Казахстане отменили временное удостоверение и детские вкладки в паспорта,"
В Казахстане отменили временное удостоверение личности и вклеивание детских фотографий в паспорт родителей, передает zakon.kz. Миграционная служба Алматы сообщает, что согласно Закону РК ""О внесении, изменений и дополнений в некоторые законодательные акты РК по вопросам оказания государственных услуг"" от 25 ноября 2019 года исключена норма по выдаче временного удостоверения личности и отменена процедура внесения записи о детях в возрасте до 16 лет, с вклеиванием их фотографий. Иными словами, отменена процедура записи детей и вклейки их фотографий в паспорт родителя для выезда за границу. Также теперь не будет временного удостоверения личности. То есть, если раньше человек терял удостоверение, к примеру, ему выдавали временное. Отныне гражданин РК будет получать стандартное удостоверение личности. Это упрощает производство документооборота, а главное облегчает процедуру оказания государственных услуг, получаемых гражданами Республики Казахстан, - информировал начальник Управления миграционной службы ДП Алматы полковник полиции Асхат Бутунчинов.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:14,6
Токаев прибыл в Мюнхен,"
Глава государства Касым-Жомарт Токаев прибыл с 2-х дневным рабочим визитом в Мюнхен для участия в 56-й конференции по безопасности (МКБ), передает zakon.kz. Об этом сообщил пресс-секретарь Президента Берик Уали на своей странице в Facebook. Планируется, что на полях МКБ глава государства примет участие в панельных дискуссиях и проведет ряд двусторонних встреч с мировыми лидерами, руководителями международных организаций, крупных германских компаний и известными экспертами в области международных отношений. Центральным событием участия Касым-Жомарта Токаева в конференции станет выступление на параллельной панельной дискуссии по региональной безопасности на тему ""География имеет значение: Беседа о Центральной Азии"". В Мюнхен для участия в мероприятии съедутся порядка 40 глав государств и правительств, более 100 руководителей внешнеполитических и оборонных ведомств, авторитетных экспертов в сфере международных отношений. Повестка дня 56-й МКБ включает актуальные вопросы мирового развития и глобальной безопасности. Участники конференции обсудят проблему торговых войн и санкций, ситуацию на Ближнем Востоке, взаимоотношения между Европейским союзом, США, Россией, Китаем и другими странами, вызовы безопасности в Европе, будущее ЕС и НАТО, а также современные угрозы в сферах кибербезопасности и здравоохранения, борьбу с дезинформацией и др. 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-15:04,3
Почему в РК практически нет фруктов с наклейками об их безопасности,"
Как правило, на заграничных фруктах и овощах имеются небольшие наклейки, где помимо яркого логотипа, содержится цифровой PLU-код (Price-Look Up). Таким образом, производители не только хотят обозначить себя, но и сообщить важную информацию. В том числе – обильное внесение удобрений и опыление пестицидами, использование технологии генной инженерии (ГМО), отсутствие химических удобрений. Однако на казахстанских прилавках встретить фрукты с такими наклейками удается не часто – продавцы их попросту убирают. Обязательно ли наличие лейбла на каждом фрукте и овоще, ввозимом в нашу страну, и не является ли их отсутствие нарушением прав потребителя, разбирался журналист zakon.kz. Как сообщили в Комитете технического регулирования и метрологии МТИ РК в ответе на официальный запрос zakon.kz, ввозимая на территорию Казахстана продукция, включенная в Перечень подкарантинной продукции на территории Евразийского экономического союза, должна отвечать фитосанитарным требованиям РК и подлежать карантинному фитосанитарному контролю (надзору). Ответственным госорганом, отвечающим за фитосанитарную безопасность, является Министерство сельского хозяйства РК. Требования к безопасности фруктов и овощей, поставляемых на территорию нашей страны, установлены в техническом регламенте Таможенного союза 021/2011 ""О безопасности пищевой продукции"", согласно которому подтверждение соответствия такой продукции осуществляется в форме декларирования. Вместе с тем правила маркировки фруктов и овощей устанавливает технический регламент Таможенного союза ТР ТС 022/2011 ""Пищевая продукция в части ее маркировки"", действующий с 1 июля 2013 года. Согласно пункту 4.12 статьи 4 ТР ТС 022/2011 маркировка овощей и фруктов должна быть понятной, легкочитаемой, достоверной и не вводить в заблуждение потребителей. При этом надписи, знаки, символы должны быть контрастными фону, на который нанесена маркировка. Способ нанесения маркировки должен обеспечивать ее сохранность в течение всего срока годности пищевой продукции при соблюдении установленных изготовителем условий хранения. Согласно статье 4.11 статьи 4 ТР ТС 022/2011 обязательным является указание о том, что продукция является генномодифицированной или содержит компоненты, полученные из генномодифицированных источников. Маркировка пищевой продукции должна наноситься на транспортную упаковку или на этикетку, либо листок-вкладыш, помещаемый в каждую транспортную упаковку или прилагаемый к каждой транспортной упаковке, либо содержаться в документах, сопровождающих пищевую продукцию, – сообщили в Комитете МТИ РК. В ведомстве дополнили, что в маркировке пищевой продукции, помещенной в транспортную упаковку, могут быть указаны дополнительные сведения. В том числе сведения о документе, в соответствии с которым произведена и может быть идентифицирована пищевая продукция. Придуманное название пищевой продукции, товарный знак, сведения об обладателе исключительного права на товарный знак. Также могут быть указаны наименование места происхождения пищевой продукции, наименование и место нахождения лицензиара, знаки систем добровольной сертификации. Согласно пункту 4.10 статьи 4 информация об отличительных признаках пищевой продукции указывается при маркировке на добровольной основе. В общем, из ответа Комитета технического регулирования и метрологии следует вывод, что безопасность зарубежных фруктов и овощей проверяется при их ввозе в нашу страну при изучении сопроводительных документов и маркировки. Однако относительно лейблов на каждом отдельном продукте ничего не сказано. Более подробно об этом в беседе с журналистом zakon.kz рассказала руководитель Департамента Комитета контроля качества и безопасности товаров и услуг (КККБТУ) МЗ РК по городу Алматы Айзат Молдагасимова. По ее словам, система Price Look Up (PLU) была изобретена в США и предназначена для идентифицированные свежих овощей и зелени. Она позволяет определить подлинность продукта, визуально идентифицировать различные сорта, а также дает возможность узнать выращена ли данная продукция с использованием ГМО, различных химических удобрений. При этом наличие определенных цифр говорит об использовании конкретного пестицида, вида удобрения и т.д. В основном эти маленькие наклейки с кодами и цифрами встречаются на овощах и фруктах, привезенных из дальнего зарубежья. И если на заграничных фруктах, продающихся в магазине их нет, то значит, их скорее убрали наши продавцы. Но стоит отметить, что утвержденными требованиями и техническими регламентами Евразийского Союза, отсутствие такой наклейки на каждом фрукте или овоще не является нарушением. Казахстанские производители их вообще не наклеивают, так как мы доверяем в основном документам, подтверждающим качество продукта. И даже если наша продукция вывозится за пределы страны, то не требуется обязательного присутствия этих наклеек. Маркировка должна наноситься непосредственно на транспортную или потребительскую упаковку – на коробку, пластиковый контейнер, полиэтиленовый пакет, то есть на любую форму упаковки. Или в транспортной упаковке должны быть специальные вкладыши, – рассказала Айзат Молдагасимова. При этом она подчеркнула, что это вовсе не означает, что показатель, который определяет качество, не контролируется. Техническим регламентом о безопасности пищевой продукции определены требования по микробиологическим, паразитологическим, токсическим и другим показателям. И все эти показатели исследуются в ходе мониторинга безопасности продукции. Мы на постоянной основе проводим лабораторные исследования на наличие патогенных микроорганизмов и паразитов. На содержание токсических элементов – свинец, мышьяк, хром, олово, ртуть, пестициды, нитраты, микротоксины и т.д. Так же мы определяем, использовались ли консерванты и пищевые красители, и какого именно вида. При выявлении несоответствия такой продукции, мы проводим мероприятия по снятию ее с реализации и утилизации. Если эта продукция произведена в странах входящих Евразийский Союз, то передаем все собранные материалы через наш Комитет МЗ РК, а оттуда – в соответствующие Комитеты тех стран. И они в рамках действующего на их территории законодательства принимают меры к производителю и проводят процедуру изъятия и уничтожения данной продукции, – продолжила Айзат Молдагасимова. Она дополнила, что ежегодно их департаменту выделяют средства на закуп такой продукции для исследований. Пробы отбирают по трем критериям. Первый – жалоба потребителя. Второй – сезонность. Третий – метод ""потребительской корзины"". То есть, сотрудники департамента под видом обычных потребителей покупают тот или иной вид продукции в различных торговых точках, а потом направляют ее на исследование. В прошлом году именно для исследования свежих фруктов и овощей нами было взято 106 таких проб. И 31 проба, то есть практически 30% – не соответствовали установленным требованиям. Из них 74% – именно нарушения по маркировке, где должны быть полные данные о продукции: страна-производитель, наименование пищевой продукции, дата изготовления, когда продукт произведен, условия хранения, а также сведения об использовании ГМО и химических удобрений. Еще в семи пробах (22,6%) было нарушение сроков годности. А в двух пробах (6,5%) – было установлено превышение содержания нитратов. В частности, это был виноград производства Чили и персик, произведенный в Китае. Вся эта продукция была снята с реализации, – рассказала Айзат Молдагасимова. В общем, как следует из вышесказанного, наличие такой наклейки на каждом овоще и фрукте в Казахстане не обязательно. А их качество проверяют на месте соответствующие госорганы путем отбора проб и соответствующих лабораторных исследований. Если же потребитель сомневается в качестве приобретенного фрукта или овоща, то он может затребовать у продавца таможенную декларацию, и тот не в праве ему отказать. Также он может посмотреть маркировку на ящике или транспортной упаковке. Если же покупатель сомневается и считает, что данный продукт не соответствует каким-то качественным показателям, то может сдать его на лабораторное исследование в городской Департамент КККБТУ МЗ, и там данный продукт проверят на соответствие всем положенным характеристикам и дадут заключение о его качестве. Владимир Демидов
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-14:58,3
